tel_nev;megy_nev;oevk_nev;oevkcenter;oevk_num;oevk_str;shape_leng;shape_area
Felsőlajos;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Fülöpháza;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kerekegyháza;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kunadacs;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kunbaracs;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kunpeszér;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kunszentmiklós;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Ladánybene;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Lajosmizse;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Szabadszállás;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Szalkszentmárton;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Tass;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Ballószög;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Helvécia;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Kecskemét;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Szentkirály;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Tiszakécske;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Városföld;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Akasztó;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Apostag;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Bátya;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Csengőd;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Drágszél;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunaegyháza;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunapataj;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunaszentbenedek;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunatetétlen;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunavecse;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Foktő;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Géderlak;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Harta;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Homokmégy;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Kalocsa;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Kaskantyú;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Kiskőrös;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Kispáhi;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Miske;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Ordas;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Öregcsertő;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Páhi;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Selymes;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Solt;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Soltszentimre;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Soltvadkert;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Szakmár;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Tabdi;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Újsolt;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Újtelek;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Uszód;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Ágasegyháza;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Bócsa;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Bugac;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Bugacpusztaháza;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Csólyospálos;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Fischerbócsa;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Fülöpjakab;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Fülöpszállás;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Gátér;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Izsák;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Jakabszállás;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Jászszentlászló;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Kiskunfélegyháza;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Kiskunmajsa;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Kömpöc;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Kunszállás;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Lakitelek;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Móricgát;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Nyárlőrinc;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Orgovány;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Pálmonostora;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Petőfiszállás;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Szank;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Tiszaalpár;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Tiszaug;Bács-Kiskun megye;Bács-Kiskun megye 4. számú egyéni választókerület;Kiskunfélegyháza;4;4;324422.08;1876316923.88
Bácsalmás;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Bácsszőlős;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Balotaszállás;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Borota;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Császártöltés;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Csikéria;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Hajós;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Harkakötöny;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Imrehegy;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Jánoshalma;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Kecel;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Kelebia;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Kéleshalom;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Kiskunhalas;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Kisszállás;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Kunbaja;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Kunfehértó;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Mélykút;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Pirtó;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Tataháza;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Tázlár;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Tompa;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Zsana;Bács-Kiskun megye;Bács-Kiskun megye 5. számú egyéni választókerület;Kiskunhalas;5;5;260428.06;1888189855.92
Bácsbokod;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Bácsborsód;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Bácsszentgyörgy;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Baja;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Bátmonostor;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Csátalja;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Csávoly;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Dávod;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Dunafalva;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Dusnok;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Érsekcsanád;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Érsekhalma;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Fajsz;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Felsőszentiván;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Gara;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Hercegszántó;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Katymár;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Madaras;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Mátételke;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Nagybaracska;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Nemesnádudvar;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Rém;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Sükösd;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Szeremle;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Vaskút;Bács-Kiskun megye;Bács-Kiskun megye 6. számú egyéni választókerület;Baja;6;6;277807.08;1428092680.64
Gyód;Baranya megye;Baranya megye 1. számú egyéni választókerület;Pécs;1;1;75220.73;106919497.66
Keszü;Baranya megye;Baranya megye 1. számú egyéni választókerület;Pécs;1;1;75220.73;106919497.66
Kökény;Baranya megye;Baranya megye 1. számú egyéni választókerület;Pécs;1;1;75220.73;106919497.66
Pécs;Baranya megye;Baranya megye 1. számú egyéni választókerület;Pécs;1;1;75220.73;106919497.66
Pécsudvard;Baranya megye;Baranya megye 1. számú egyéni választókerület;Pécs;1;1;75220.73;106919497.66
Pogány;Baranya megye;Baranya megye 1. számú egyéni választókerület;Pécs;1;1;75220.73;106919497.66
Berkesd;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Bogád;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Cserkút;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Ellend;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Hásságy;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Komló;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Kozármisleny;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Kővágószőlős;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Lothárd;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Magyarsarlós;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Mánfa;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Nagykozár;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Orfű;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Pereked;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Romonya;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Szemely;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Szilágy;Baranya megye;Baranya megye 2. számú egyéni választókerület;Pécs;2;2;160289.34;344699531.57
Ág;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Alsómocsolád;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Apátvarasd;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Babarc;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Bár;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Belvárdgyula;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Beremend;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Bezedek;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Bikal;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Birján;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Bóly;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Borjád;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Dunaszekcső;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Egerág;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Egyházasharaszti;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Egyházaskozár;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Erdősmárok;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Erdősmecske;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Erzsébet;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Fazekasboda;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Feked;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Geresdlak;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Görcsönydoboka;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Hegyhátmaróc;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Hidas;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Himesháza;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Homorúd;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Hosszúhetény;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Illocska;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Ivánbattyán;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Ivándárda;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kárász;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kásád;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kátoly;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kékesd;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kisbudmér;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kisharsány;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kisherend;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kisjakabfalva;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kiskassa;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kislippó;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kisnyárád;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kistapolca;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Köblény;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Kölked;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Lánycsók;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Lapáncsa;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Lippó;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Liptód;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Lovászhetény;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Mágocs;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Magyarbóly;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Magyaregregy;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Majs;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Maráza;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Máriakéménd;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Márok;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Martonfa;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Máza;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Mecseknádasd;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Mekényes;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Mohács;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Monyoród;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Nagybudmér;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Nagyhajmás;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Nagyharsány;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Nagynyárád;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Nagypall;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Nagytótfalu;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Óbánya;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Ófalu;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Olasz;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Old;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Palkonya;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Palotabozsok;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Pécsdevecser;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Pécsvárad;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Peterd;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Pócsa;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Sárok;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
Sátorhely;Baranya megye;Baranya megye 3. számú egyéni választókerület;Mohács;3;3;373572.03;1725421545.77
